左x,左y,右x,右y,右x-左x,右y-左y
181,118,24,11,-157,-107
181,118,25,11,-156,-107
183,118,26,11,-157,-107
155,119,0,12,-155,-107
155,119,1,12,-154,-107
156,119,2,12,-154,-107
157,119,3,12,-154,-107
157,119,4,12,-153,-107
159,119,5,12,-154,-107
161,118,6,12,-155,-106
163,119,7,12,-156,-107
163,119,8,12,-155,-107
165,118,9,12,-156,-106
167,117,10,12,-157,-105
168,116,11,12,-157,-104
168,116,12,12,-156,-104
169,117,13,12,-156,-105
171,118,14,12,-157,-106
171,118,15,12,-156,-106
172,119,16,12,-156,-107
173,120,17,12,-156,-108
175,119,18,12,-157,-107
176,118,19,12,-157,-106
176,118,20,12,-156,-106
178,118,21,12,-157,-106
178,118,22,12,-156,-106
180,118,23,12,-157,-106
181,118,24,12,-157,-106
181,118,25,12,-156,-106
182,119,26,12,-156,-107
156,120,0,13,-156,-107
156,120,1,13,-155,-107
156,120,2,13,-154,-107
157,119,3,13,-154,-106
158,120,4,13,-154,-107
159,121,5,13,-154,-108
160,120,6,13,-154,-107
162,120,7,13,-155,-107
164,121,8,13,-156,-108
165,120,9,13,-156,-107
167,119,10,13,-157,-106
169,118,11,13,-158,-105
169,118,12,13,-157,-105
170,119,13,13,-157,-106
171,119,14,13,-157,-106
172,119,15,13,-157,-106
172,119,16,13,-156,-106
173,120,17,13,-156,-107
174,120,18,13,-156,-107
175,119,19,13,-156,-106
177,119,20,13,-157,-106
178,118,21,13,-157,-105
178,118,22,13,-156,-105
180,118,23,13,-157,-105
181,118,24,13,-157,-105
181,118,25,13,-156,-105
182,119,26,13,-156,-106
156,120,0,14,-156,-106
156,120,1,14,-155,-106
156,120,2,14,-154,-106
157,121,3,14,-154,-107
158,120,4,14,-154,-106
159,121,5,14,-154,-107
161,121,6,14,-155,-107
163,121,7,14,-156,-107
164,122,8,14,-156,-108
164,122,9,14,-155,-108
166,121,10,14,-156,-107
168,120,11,14,-157,-106
170,120,12,14,-158,-106
171,120,13,14,-158,-106
171,120,14,14,-157,-106
171,120,15,14,-156,-106
172,119,16,14,-156,-105
173,120,17,14,-156,-106
174,121,18,14,-156,-107
175,121,19,14,-156,-107
176,121,20,14,-156,-107
178,120,21,14,-157,-106
179,120,22,14,-157,-106
181,119,23,14,-158,-105
182,119,24,14,-158,-105
182,119,25,14,-157,-105
182,119,26,14,-156,-105
156,120,0,15,-156,-105
156,120,1,15,-155,-105
156,120,2,15,-154,-105
157,121,3,15,-154,-106
158,121,4,15,-154,-106
159,121,5,15,-154,-106
161,121,6,15,-155,-106
163,121,7,15,-156,-106
164,122,8,15,-156,-107
164,122,9,15,-155,-107
165,122,10,15,-155,-107
167,121,11,15,-156,-106
169,121,12,15,-157,-106
170,121,13,15,-157,-106
170,121,14,15,-156,-106
171,121,15,15,-156,-106
171,121,16,15,-155,-106
173,121,17,15,-156,-106
174,121,18,15,-156,-106
175,121,19,15,-156,-106
176,121,20,15,-156,-106
177,121,21,15,-156,-106
179,121,22,15,-157,-106
180,121,23,15,-157,-106
181,121,24,15,-157,-106
181,121,25,15,-156,-106
181,121,26,15,-155,-106
156,120,0,16,-156,-104
156,120,1,16,-155,-104
156,120,2,16,-154,-104
157,121,3,16,-154,-105
158,122,4,16,-154,-106
159,122,5,16,-154,-106
161,121,6,16,-155,-105
163,121,7,16,-156,-105
164,122,8,16,-156,-106
165,123,9,16,-156,-107
166,123,10,16,-156,-107
168,122,11,16,-157,-106
169,123,12,16,-157,-107
169,123,13,16,-156,-107
169,123,14,16,-155,-107
170,123,15,16,-155,-107
172,122,16,16,-156,-106
172,122,17,16,-155,-106
173,123,18,16,-155,-107
175,123,19,16,-156,-107
175,123,20,16,-155,-107
177,122,21,16,-156,-106
179,123,22,16,-157,-107
181,123,23,16,-158,-107
181,123,24,16,-157,-107
